title,published_date,duration,view_count,like_count,favorite_count,comment_count,year,month,day
PhD student view on stereotypes about Blacks in Malaysia?,2025-04-12 10:00:38+00:00,1900-01-01 00:10:01,180,12,0,2,2025,4,12
Top 5 Differences Sudanese Have with Malaysians?,2025-03-19 08:15:03+00:00,1900-01-01 00:17:42,356,20,0,3,2025,3,19
Biggest Misconceptions About Nigerians in Malaysia?,2025-02-19 08:00:49+00:00,1900-01-01 00:41:14,810,27,0,3,2025,2,19
The Biggest Misconceptions About Chinese Malaysians – Fact vs Fiction!,2025-01-30 00:00:18+00:00,1900-01-01 00:09:03,6381,88,0,89,2025,1,30
Biggest Challenges Foreigners Face in Rural Malaysia?,2025-01-01 10:00:45+00:00,1900-01-01 00:24:35,2849,41,0,33,2025,1,1
Malaysia 2030 | What Locals Think About the Future?,2024-12-04 10:00:18+00:00,1900-01-01 00:15:35,4510,59,0,57,2024,12,4
5 Facts About Malaysian Indians You Must Know,2024-11-13 10:00:39+00:00,1900-01-01 00:12:24,7685,92,0,125,2024,11,13
What Do Malays Really Think About Diversity In Malaysia?,2024-10-23 10:00:45+00:00,1900-01-01 00:20:42,7866,109,0,215,2024,10,23
Love it or Hate it? Watch This Before Move To Malaysia!,2024-10-09 10:00:49+00:00,1900-01-01 00:20:31,15126,233,0,42,2024,10,9
What Anime Is Overrated In Malaysia ?,2024-06-12 10:00:41+00:00,1900-01-01 00:03:03,254,12,0,0,2024,6,12
Do Malaysians Like Foreigners To Be In Malaysia ?,2024-05-29 10:00:23+00:00,1900-01-01 00:08:48,349,15,0,9,2024,5,29
How Does Malaysia Change You As a Person?,2024-05-15 10:00:29+00:00,1900-01-01 00:07:08,5348,123,0,29,2024,5,15
What do Malaysians hate about Malaysia?,2024-05-01 10:00:00+00:00,1900-01-01 00:07:43,2562,23,0,43,2024,5,1
What's like being Asian in Malaysia?,2024-04-17 10:00:17+00:00,1900-01-01 00:13:14,5058,71,0,35,2024,4,17
Is Malaysia Really Safe For Foreigners?,2024-04-03 10:00:11+00:00,1900-01-01 00:06:01,5524,43,0,31,2024,4,3
What's like being an Arab in Malaysia?,2024-03-27 10:00:34+00:00,1900-01-01 00:05:31,9350,271,0,43,2024,3,27
What's like being European in Malaysia?,2024-03-13 10:00:00+00:00,1900-01-01 00:07:36,15283,374,0,45,2024,3,13
What's like being Black in Malaysia?,2024-02-28 10:00:27+00:00,1900-01-01 00:14:40,74328,1236,0,629,2024,2,28
